Date;Anio;Mes;Mes_Nombre;Semana_Anio;Dia_Semana
5/02/10;2010;2;Febrero;5;Viernes
12/02/10;2010;2;Febrero;6;Viernes
19/02/10;2010;2;Febrero;7;Viernes
26/02/10;2010;2;Febrero;8;Viernes
5/03/10;2010;3;Marzo;9;Viernes
12/03/10;2010;3;Marzo;10;Viernes
19/03/10;2010;3;Marzo;11;Viernes
26/03/10;2010;3;Marzo;12;Viernes
2/04/10;2010;4;Abril;13;Viernes
9/04/10;2010;4;Abril;14;Viernes
16/04/10;2010;4;Abril;15;Viernes
23/04/10;2010;4;Abril;16;Viernes
30/04/10;2010;4;Abril;17;Viernes
7/05/10;2010;5;Mayo;18;Viernes
14/05/10;2010;5;Mayo;19;Viernes
21/05/10;2010;5;Mayo;20;Viernes
28/05/10;2010;5;Mayo;21;Viernes
4/06/10;2010;6;Junio;22;Viernes
11/06/10;2010;6;Junio;23;Viernes
18/06/10;2010;6;Junio;24;Viernes
25/06/10;2010;6;Junio;25;Viernes
2/07/10;2010;7;Julio;26;Viernes
9/07/10;2010;7;Julio;27;Viernes
16/07/10;2010;7;Julio;28;Viernes
23/07/10;2010;7;Julio;29;Viernes
30/07/10;2010;7;Julio;30;Viernes
6/08/10;2010;8;Agosto;31;Viernes
13/08/10;2010;8;Agosto;32;Viernes
20/08/10;2010;8;Agosto;33;Viernes
27/08/10;2010;8;Agosto;34;Viernes
3/09/10;2010;9;Septiembre;35;Viernes
10/09/10;2010;9;Septiembre;36;Viernes
17/09/10;2010;9;Septiembre;37;Viernes
24/09/10;2010;9;Septiembre;38;Viernes
1/10/10;2010;10;Octubre;39;Viernes
8/10/10;2010;10;Octubre;40;Viernes
15/10/10;2010;10;Octubre;41;Viernes
22/10/10;2010;10;Octubre;42;Viernes
29/10/10;2010;10;Octubre;43;Viernes
5/11/10;2010;11;Noviembre;44;Viernes
12/11/10;2010;11;Noviembre;45;Viernes
19/11/10;2010;11;Noviembre;46;Viernes
26/11/10;2010;11;Noviembre;47;Viernes
3/12/10;2010;12;Diciembre;48;Viernes
10/12/10;2010;12;Diciembre;49;Viernes
17/12/10;2010;12;Diciembre;50;Viernes
24/12/10;2010;12;Diciembre;51;Viernes
31/12/10;2010;12;Diciembre;52;Viernes
7/01/11;2011;1;Enero;1;Viernes
14/01/11;2011;1;Enero;2;Viernes
21/01/11;2011;1;Enero;3;Viernes
28/01/11;2011;1;Enero;4;Viernes
4/02/11;2011;2;Febrero;5;Viernes
11/02/11;2011;2;Febrero;6;Viernes
18/02/11;2011;2;Febrero;7;Viernes
25/02/11;2011;2;Febrero;8;Viernes
4/03/11;2011;3;Marzo;9;Viernes
11/03/11;2011;3;Marzo;10;Viernes
18/03/11;2011;3;Marzo;11;Viernes
25/03/11;2011;3;Marzo;12;Viernes
1/04/11;2011;4;Abril;13;Viernes
8/04/11;2011;4;Abril;14;Viernes
15/04/11;2011;4;Abril;15;Viernes
22/04/11;2011;4;Abril;16;Viernes
29/04/11;2011;4;Abril;17;Viernes
6/05/11;2011;5;Mayo;18;Viernes
13/05/11;2011;5;Mayo;19;Viernes
20/05/11;2011;5;Mayo;20;Viernes
27/05/11;2011;5;Mayo;21;Viernes
3/06/11;2011;6;Junio;22;Viernes
10/06/11;2011;6;Junio;23;Viernes
17/06/11;2011;6;Junio;24;Viernes
24/06/11;2011;6;Junio;25;Viernes
1/07/11;2011;7;Julio;26;Viernes
8/07/11;2011;7;Julio;27;Viernes
15/07/11;2011;7;Julio;28;Viernes
22/07/11;2011;7;Julio;29;Viernes
29/07/11;2011;7;Julio;30;Viernes
5/08/11;2011;8;Agosto;31;Viernes
12/08/11;2011;8;Agosto;32;Viernes
19/08/11;2011;8;Agosto;33;Viernes
26/08/11;2011;8;Agosto;34;Viernes
2/09/11;2011;9;Septiembre;35;Viernes
9/09/11;2011;9;Septiembre;36;Viernes
16/09/11;2011;9;Septiembre;37;Viernes
23/09/11;2011;9;Septiembre;38;Viernes
30/09/11;2011;9;Septiembre;39;Viernes
7/10/11;2011;10;Octubre;40;Viernes
14/10/11;2011;10;Octubre;41;Viernes
21/10/11;2011;10;Octubre;42;Viernes
28/10/11;2011;10;Octubre;43;Viernes
4/11/11;2011;11;Noviembre;44;Viernes
11/11/11;2011;11;Noviembre;45;Viernes
18/11/11;2011;11;Noviembre;46;Viernes
25/11/11;2011;11;Noviembre;47;Viernes
2/12/11;2011;12;Diciembre;48;Viernes
9/12/11;2011;12;Diciembre;49;Viernes
16/12/11;2011;12;Diciembre;50;Viernes
23/12/11;2011;12;Diciembre;51;Viernes
30/12/11;2011;12;Diciembre;52;Viernes
6/01/12;2012;1;Enero;1;Viernes
13/01/12;2012;1;Enero;2;Viernes
20/01/12;2012;1;Enero;3;Viernes
27/01/12;2012;1;Enero;4;Viernes
3/02/12;2012;2;Febrero;5;Viernes
10/02/12;2012;2;Febrero;6;Viernes
17/02/12;2012;2;Febrero;7;Viernes
24/02/12;2012;2;Febrero;8;Viernes
2/03/12;2012;3;Marzo;9;Viernes
9/03/12;2012;3;Marzo;10;Viernes
16/03/12;2012;3;Marzo;11;Viernes
23/03/12;2012;3;Marzo;12;Viernes
30/03/12;2012;3;Marzo;13;Viernes
6/04/12;2012;4;Abril;14;Viernes
13/04/12;2012;4;Abril;15;Viernes
20/04/12;2012;4;Abril;16;Viernes
27/04/12;2012;4;Abril;17;Viernes
4/05/12;2012;5;Mayo;18;Viernes
11/05/12;2012;5;Mayo;19;Viernes
18/05/12;2012;5;Mayo;20;Viernes
25/05/12;2012;5;Mayo;21;Viernes
1/06/12;2012;6;Junio;22;Viernes
8/06/12;2012;6;Junio;23;Viernes
15/06/12;2012;6;Junio;24;Viernes
22/06/12;2012;6;Junio;25;Viernes
29/06/12;2012;6;Junio;26;Viernes
6/07/12;2012;7;Julio;27;Viernes
13/07/12;2012;7;Julio;28;Viernes
20/07/12;2012;7;Julio;29;Viernes
27/07/12;2012;7;Julio;30;Viernes
3/08/12;2012;8;Agosto;31;Viernes
10/08/12;2012;8;Agosto;32;Viernes
17/08/12;2012;8;Agosto;33;Viernes
24/08/12;2012;8;Agosto;34;Viernes
31/08/12;2012;8;Agosto;35;Viernes
7/09/12;2012;9;Septiembre;36;Viernes
14/09/12;2012;9;Septiembre;37;Viernes
21/09/12;2012;9;Septiembre;38;Viernes
28/09/12;2012;9;Septiembre;39;Viernes
5/10/12;2012;10;Octubre;40;Viernes
12/10/12;2012;10;Octubre;41;Viernes
19/10/12;2012;10;Octubre;42;Viernes
26/10/12;2012;10;Octubre;43;Viernes
2/11/12;2012;11;Noviembre;44;Viernes
9/11/12;2012;11;Noviembre;45;Viernes
16/11/12;2012;11;Noviembre;46;Viernes
23/11/12;2012;11;Noviembre;47;Viernes
30/11/12;2012;11;Noviembre;48;Viernes
7/12/12;2012;12;Diciembre;49;Viernes
14/12/12;2012;12;Diciembre;50;Viernes
21/12/12;2012;12;Diciembre;51;Viernes
28/12/12;2012;12;Diciembre;52;Viernes
4/01/13;2013;1;Enero;1;Viernes
11/01/13;2013;1;Enero;2;Viernes
18/01/13;2013;1;Enero;3;Viernes
25/01/13;2013;1;Enero;4;Viernes
1/02/13;2013;2;Febrero;5;Viernes
8/02/13;2013;2;Febrero;6;Viernes
15/02/13;2013;2;Febrero;7;Viernes
22/02/13;2013;2;Febrero;8;Viernes
1/03/13;2013;3;Marzo;9;Viernes
8/03/13;2013;3;Marzo;10;Viernes
15/03/13;2013;3;Marzo;11;Viernes
22/03/13;2013;3;Marzo;12;Viernes
29/03/13;2013;3;Marzo;13;Viernes
5/04/13;2013;4;Abril;14;Viernes
12/04/13;2013;4;Abril;15;Viernes
19/04/13;2013;4;Abril;16;Viernes
